,a3_x,a3_y
0,4.0314915121109705,-7.04784009548892e-08
1,4.032485598739017,-7.053983820991094e-08
2,4.033479709021396,-7.060093253937294e-08
3,4.034473842863487,-7.066168406718614e-08
4,4.035468000171046,-7.072209291927275e-08
5,4.036462180850208,-7.07821592235529e-08
6,4.037456384807482,-7.08418831099315e-08
7,4.038450611949751,-7.090126471028505e-08
8,4.039444862184272,-7.096030415844847e-08
9,4.040439135418671,-7.101900159020214e-08
10,4.041433431560946,-7.107735714325878e-08
11,4.042427750519459,-7.113537095725054e-08
12,4.043422092202943,-7.119304317371595e-08
13,4.044416456520493,-7.125037393608722e-08
14,4.04541084338157,-7.130736338967717e-08
15,4.046405252695996,-7.136401168166672e-08
16,4.047399684373952,-7.142031896109185e-08
17,4.048394138325981,-7.147628537883109e-08
18,4.049388614462983,-7.153191108759287e-08
19,4.050383112696214,-7.158719624190279e-08
20,4.051377632937285,-7.16967455142805e-08
21,4.052372175098162,-7.175100995037295e-08
22,4.05336673909116,-7.1804934468038e-08
23,4.054361324828949,-7.185851923070006e-08
24,4.055355932224543,-7.191176440352604e-08
25,4.05635056119131,-7.19646701534132e-08
26,4.057345211642961,-7.201723664897688e-08
27,4.058339883493551,-7.20694640605383e-08
28,4.059334576657482,-7.212135256011232e-08
29,4.060329291049498,-7.217290232139554e-08
30,4.06132402658468,-7.222411351975409e-08
31,4.077242602627927,-7.227498633221162e-08
32,4.078237684928763,-7.232552093743746e-08
33,4.079232786901069,-7.237571751573461e-08
34,4.080227908466155,-7.242557624902787e-08
35,4.081223049545646,-7.247509732085207e-08
36,4.082218210061483,-7.252428091634019e-08
37,4.083213389935916,-7.257312722221177e-08
38,4.084208589091508,-7.262163642676109e-08
39,4.085203807451132,-7.266980871984558e-08
40,4.086199044937966,-7.271764429287426e-08
41,4.094161624294777,-7.368524301447057e-08
42,4.095157030519945,-7.372539025384834e-08
43,4.096152455120831,-7.376520580307403e-08
44,4.097147898023928,-7.380468988870562e-08
45,4.098143359156025,-7.384384273856649e-08
46,4.099138838444204,-7.38826645817352e-08
47,4.100134335815836,-7.392115564853494e-08
48,4.101129851198586,-7.395931617052334e-08
49,4.102125384520404,-7.39971463804821e-08
