,a4_x,a4_y
0,-2.624769460597791,2.3961182334487394
1,-2.6244561418421046,2.395706531598334
2,-2.6241428261862025,2.395294871965537
3,-2.6238295135594414,2.3948832545407863
4,-2.623516203891269,2.39447167931448
5,-2.623202897111224,2.394060146276974
6,-2.6228895931489355,2.3841959842793603
7,-2.622576291934125,2.383785502718114
8,-2.6222629933966046,2.3833750630820205
9,-2.6219496974662797,2.382964665360481
10,-2.6216364040731457,2.3825543095428645
11,-2.6213231131472927,2.3821439956185086
12,-2.621009824618902,2.3817337235767213
13,-2.620696538418248,2.381323493406779
14,-2.620383254475698,2.380913305097929
15,-2.6200699727217134,2.3805031586393888
16,-2.619756693086849,2.3755846614964824
17,-2.619443415501752,2.375175058097632
18,-2.618190324275305,2.374765496395148
19,-2.6178770559020723,2.3743559763778337
20,-2.61756378916448,2.373946498034465
21,-2.6172505239938397,2.373537061353793
22,-2.616937260321558,2.373127666324544
23,-2.616623998079139,2.37271831293542
24,-2.616310737198181,2.372309001175096
25,-2.61599747761038,2.371899731032226
26,-2.6156842192475267,2.3690360043626617
27,-2.615370962041511,2.3686270667480787
28,-2.6050336832331458,2.36821817064777
29,-2.60472042553828,2.3678093160501583
30,-2.6044071666789503,2.367400502943646
31,-2.6040939065906663,2.366991731316612
32,-2.603780645209042,2.366583001157417
33,-2.603467382469796,2.3661743124543984
34,-2.6031541183087508,2.365765665195873
35,-2.602840852661834,2.365357059370139
36,-2.6025275854650785,2.364948494965472
37,-2.602214316654621,2.36453997197013
38,-2.601901046166705,2.364131490372349
39,-2.601587773937678,2.363723050160347
40,-2.6012744999039934,2.3633146513223213
41,-2.600961224002211,2.362906293846452
42,-2.600647946168996,2.3624979777208983
43,-2.60033466634112,2.362089702933802
44,-2.60002138445546,2.361681469473286
45,-2.599708100449,2.361273277327455
46,-2.599394814258831,2.360865126484396
47,-2.5990815258221494,2.360457016932177
48,-2.5987682350762604,2.3600489486588505
49,-2.5984549419585745,2.359640921652449
50,-2.59250183962656,2.35923293590099
51,-2.592188486095561,2.358824991392473
52,-2.591875128903408,2.3584170881148805
53,-2.5915617679899063,2.358009226056179
54,-2.591248403294972,2.357601405204319
55,-2.5909350347586315,2.357193625547233
56,-2.5906216623210225,2.3567858870728404
57,-2.5903082859223936,2.356378189769042
58,-2.5899949055031035,2.3559705336237244
59,-2.589681521003623,2.355562918624759
60,-2.5874877102848632,2.355155344760001
61,-2.587174291014184,2.3547478120172918
62,-2.586860867132573,2.354340320384456
63,-2.5865474385816216,2.3539328698493063
64,-2.58623400530303,2.353525460399639
65,-2.5859205672386136,2.3531180920232373
66,-2.5856071243303,2.3527107647078696
67,-2.585293676520129,2.35230347844129
68,-2.5849802237502546,2.3518962332112405
69,-2.584666765962944,2.351489029005448
70,-2.5843533031005754,2.351081865811626
71,-2.584039835105644,2.3506747436174766
72,-2.583726361920756,2.3502676624106877
73,-2.5834128834886307,2.3498606221789333
74,-2.583099399752104,2.349453622909877
75,-2.5827859106541227,2.346199101930009
76,-2.5824724161377497,2.345792470768042
77,-2.5821589161461604,2.3453858804447414
78,-2.581845410622645,2.344979330947639
79,-2.581531899510608,2.3445728222642592
80,-2.5812183827535686,2.344166354382116
81,-2.5809048602951594,2.343759927288711
82,-2.5805913320791287,2.343353540971538
83,-2.5802777980493388,2.3429471954180787
84,-2.5799642581497677,2.342540890615807
85,-2.579650712324506,2.342134626552185
86,-2.5793371605177624,2.341728403214666
