,a2_x,a2_y
0,-1.5829301660324244,-7.417069833967577
1,-1.583492492002335,-7.416507507997666
2,-1.5840548314100658,-7.415945168589936
3,-1.5846171842018657,-7.415382815798136
4,-1.5851795503241977,-7.414820449675804
5,-1.5857419297237405,-7.414258070276261
6,-1.5863043223473847,-7.413695677652617
7,-1.5868667281422342,-7.413133271857768
8,-1.587429147055604,-7.412570852944397
9,-1.5879915790350203,-7.412008420964981
10,-1.5885540240282188,-7.411445975971783
11,-1.5891164819831445,-7.410883518016858
12,-1.5896789528479498,-7.410321047152053
13,-1.5902414365709958,-7.409758563429007
14,-1.5908039331008494,-7.409196066899152
15,-1.5913664423862834,-7.408633557613719
16,-1.5919289643762755,-7.408071035623727
17,-1.5924914990200074,-7.407508500979994
18,-1.5930540462668643,-7.406945953733137
19,-1.5936166060664334,-7.406383393933568
20,-1.5947417631230665,-7.404133030209376
21,-1.5953043602803103,-7.403570408395403
22,-1.595866969790625,-7.403007774326986
23,-1.596429591604598,-7.402445128053143
24,-1.5969922256730151,-7.401882469622696
25,-1.5975548719468584,-7.401319799084271
26,-1.598117530377306,-7.400757116486299
27,-1.5986802009157317,-7.4001944218770195
28,-1.5992428835137034,-7.399631715304477
29,-1.599805578122983,-7.399068996816525
30,-1.618380933934857,-7.382182131209409
31,-1.618944009560245,-7.381619066065143
32,-1.6195070956248314,-7.381055990439755
33,-1.6200701920868592,-7.380492904375169
34,-1.6206332989047387,-7.379929807913141
35,-1.6211964160370465,-7.379366701095262
36,-1.6217595434425247,-7.378803583962954
37,-1.6223226810800808,-7.378240456557475
38,-1.6228858289087866,-7.377677318919919
39,-1.6234489868878774,-7.377114171091214
40,-1.6240121549767517,-7.376551013112123
41,-1.6245753331349702,-7.375987845023249
42,-1.6251385213222556,-7.3754246668650305
43,-1.6257017194984915,-7.3748614786777456
44,-1.6262649276237224,-7.37429828050151
45,-1.626828145658152,-7.373735072376279
46,-1.627391373562144,-7.373171854341849
47,-1.6279546112962195,-7.372608626437857
48,-1.6285178588210587,-7.372045388703781
49,-1.6290811160974985,-7.371482141178942
50,-1.629644383086532,-7.370918883902502
51,-1.6302076597493091,-7.370355616913468
52,-1.6307709460471351,-7.36979234025069
53,-1.64091170380295,-7.369229053952864
54,-1.6414751660168576,-7.362468880720698
55,-1.642038637123609,-7.361905472618894
56,-1.642602117087634,-7.361342055407799
57,-1.6431656058735022,-7.360778629123847
58,-1.6437291034459267,-7.360215193803332
59,-1.6442926097697614,-7.359651749482398
60,-1.6448561248100009,-7.359088296197049
61,-1.6454196485317787,-7.358524833983141
62,-1.645983180900369,-7.35796136287639
63,-1.6499281467032925,-7.357397882912365
64,-1.650491747012795,-7.350071853296706
65,-1.65105535566276,-7.349508252987203
66,-1.6516189726198247,-7.348944644337238
67,-1.652182597850761,-7.348381027380173
68,-1.6527462313224732,-7.347817402149237
69,-1.6533098730019984,-7.347253768677525
70,-1.6538735228565054,-7.346690126998
71,-1.654437180853294,-7.346126477143493
72,-1.6550008469597954,-7.345562819146705
73,-1.6555645211435706,-7.344999153040204
74,-1.6561282033723104,-7.344435478856429
75,-1.656691893613835,-7.343871796627689
76,-1.6572555918360934,-7.343308106386164
77,-1.6578192980071624,-7.342744408163906
78,-1.6583830120952472,-7.342180701992837
79,-1.6589467340686792,-7.341616987904753
80,-1.6595104638959173,-7.341053265931321
81,-1.6600742015455463,-7.340489536104083
82,-1.6606379469862766,-7.339925798454454
83,-1.661201700186944,-7.339362053013724
84,-1.6617654611165082,-7.338798299813057
85,-1.6623292297440542,-7.338234538883492
86,-1.6628930060387896,-7.337670770255946
87,-1.663456789970046,-7.337106993961211
88,-1.664020581507277,-7.336543210029954
89,-1.664584380620059,-7.335979418492723
90,-1.6651481872780898,-7.335415619379941
91,-1.665712001451188,-7.334851812721911
92,-1.6662758231092938,-7.334287998548812
93,-1.6668396522224669,-7.333724176890707
94,-1.667403488760887,-7.333160347777533
95,-1.6679673326948534,-7.332596511239113
96,-1.6685311839947836,-7.332032667305147
97,-1.669095042631214,-7.331468816005216
98,-1.6786817339483378,-7.330904957368786
99,-1.67924571973555,-7.322446217121111
100,-1.6798097123213136,-7.321882245013021
101,-1.6803737116784336,-7.321318266051663
102,-1.680937717779825,-7.320754280264451
103,-1.6815017305985107,-7.320190287678687
104,-1.6820657501076215,-7.319626288321567
105,-1.6826297762803957,-7.319062282220176
106,-1.6831938090901784,-7.31849826940149
107,-1.683757848510422,-7.31793424989238
108,-1.684321894514684,-7.317370223719606
109,-1.684885947076629,-7.316806190909823
110,-1.6854500061700262,-7.316242151489579
111,-1.6860140717687495,-7.311729601301964
112,-1.6865781438467775,-7.311165503564855
113,-1.6871422223781936,-7.310601399476993
114,-1.6877063073371836,-7.310037289063783
115,-1.6882703986980374,-7.309473172350526
116,-1.69221921533803,-7.3089090493624225
117,-1.6927833570004789,-7.308344920124571
118,-1.6933475048379776,-7.307780784661972
119,-1.6939116588258265,-7.307216642999523
120,-1.6944758189394231,-7.306652495162025
121,-1.6950399851542657,-7.306088341174176
122,-1.6956041574459486,-7.305524181060579
123,-1.6961683357901645,-7.304960014845736
124,-1.6967325201627033,-7.304395842554054
125,-1.6972967105394516,-7.303831664209838
126,-1.702938939302013,-7.303267479837299
127,-1.7035031941609018,-7.30270328946055
128,-1.7040674547420551,-7.302139093103609
129,-1.7046317210225836,-7.301574890790396
130,-1.7051959929796898,-7.301010682544735
131,-1.7057602705906674,-7.300446468390358
132,-1.7063245538329008,-7.299882248350898
133,-1.706888842683865,-7.299318022449897
134,-1.7074531371211252,-7.298753790710799
135,-1.7080174371223362,-7.298189553156958
136,-1.708581742665242,-7.297625309811633
137,-1.709146053727676,-7.297061060697989
138,-1.7097103702875602,-7.2964968058391
139,-1.7102746923229046,-7.295932545257947
140,-1.7108390198118075,-7.295368278977419
141,-1.718175763633948,-7.294804007020312
142,-1.7187401652214038,-7.294239729409335
143,-1.7193045719442095,-7.293675446167102
144,-1.7198689837818235,-7.293111157316138
145,-1.7204334007137874,-7.292546862878877
146,-1.720997822719723,-7.291982562877666
147,-1.7215622497793346,-7.29141825733476
148,-1.7221266818724077,-7.290853946272326
149,-1.722691118978808,-7.290289629712442
150,-1.7232555610784828,-7.289725307677098
151,-1.7351099639424576,-7.289160980188195
152,-1.7356745109796734,-7.288596647267548
153,-1.73623906257044,-7.281824236366053
154,-1.7368036186965434,-7.281259834778598
155,-1.737368179339842,-7.280695428055792
156,-1.7379327444822674,-7.280131016218178
157,-1.7384973141058229,-7.279566599286214
158,-1.739061888192584,-7.279002177280279
159,-1.7396264667246977,-7.278437750220667
160,-1.7401910496843829,-7.277873318127594
161,-1.7407556370539288,-7.277308881021193
162,-1.7413202288156966,-7.276744438921519
163,-1.741884824952117,-7.264890036057542
164,-1.7424494254456917,-7.264325489020327
165,-1.7430140302789918,-7.26376093742956
166,-1.7435786394346584,-7.263196381303457
167,-1.7441432528954022,-7.262631820660158
168,-1.756565804082743,-7.262067255517733
169,-1.7571305119439895,-7.261502685894178
170,-1.7576952237154913,-7.260938111807417
171,-1.7582599393816067,-7.260373533275303
172,-1.7588246589267575,-7.259808950315619
173,-1.7593893823354274,-7.259244362946072
174,-1.7599541095921625,-7.258679771184305
175,-1.7605188406815704,-7.258115175047884
176,-1.7610835755883203,-7.257550574554309
177,-1.7616483142971433,-7.2569859697210095
178,-1.76673113128042,-7.2564213605653425
179,-1.7672959071834726,-7.255856747104598
180,-1.7678606867246127,-7.243434195917257
181,-1.768425469889288,-7.24286948805601
182,-1.7689902566630045,-7.2423047762845085
183,-1.7695550470313255,-7.241740060618393
184,-1.7701198409798735,-7.241175341073243
185,-1.770684638494327,-7.240610617664573
186,-1.7712494395604224,-7.240045890407838
187,-1.771814244163953,-7.239481159318431
188,-1.7723790522907696,-7.238916424411681
189,-1.7729438639267787,-7.238351685702858
190,-1.7735086790579435,-7.233268868719581
191,-1.7740734976702834,-7.232704092816529
192,-1.7746383197498738,-7.232139313275389
193,-1.7752031452828456,-7.231574530110714
194,-1.787065255224537,-7.231009743336997
195,-1.7876301533330057,-7.230444952968676
196,-1.7881950545907404,-7.229880159020128
197,-1.7887599589851435,-7.229315361505675
198,-1.7893248665036694,-7.22875056043958
199,-1.7898897771338207,-7.228185755836049
200,-1.7904546908631511,-7.227620947709232
201,-1.7910196076792642,-7.227056136073223
202,-1.7915845275698126,-7.226491320942058
203,-1.7921494505224984,-7.225926502329719
204,-1.809663516007108,-7.225361680250129
205,-1.8102285307404384,-7.224796854717157
206,-1.8107935481565351,-7.217453814741207
207,-1.8113585682446676,-7.216888942286474
208,-1.811923590994147,-7.21632406657986
209,-1.812488616394328,-7.215759187634372
210,-1.8130536444346084,-7.215194305462967
211,-1.8136186751044276,-7.2146294200785475
212,-1.814183708393267,-7.214064531493966
213,-1.8147487442906511,-7.213499639722023
214,-1.8153137827861452,-7.212934744775468
215,-1.8158788238693573,-7.212369846666999
216,-1.8164438675299368,-7.211804945409264
217,-1.817008913757573,-7.211240041014861
218,-1.8175739625419989,-7.210675133496335
219,-1.8181390138729867,-7.210110222866183
220,-1.8187040677403503,-7.209545309136853
221,-1.8192691241339445,-7.208980392320741
222,-1.819834183043664,-7.208415472430192
223,-1.820399244459444,-7.207850549477507
224,-1.8209643083712608,-7.190336483992896
225,-1.8215293747691308,-7.189771469259566
226,-1.8220944436431088,-7.189206451843469
227,-1.8226595149832905,-7.188641431755337
228,-1.8232245887798115,-7.188076409005857
229,-1.8237896650228456,-7.187511383605676
230,-1.824354743702608,-7.186946355565396
231,-1.824919824809351,-7.186381324895577
232,-1.8254849083333669,-7.185816291606738
233,-1.8260499942649864,-7.185251255709354
234,-1.8266150825945795,-7.18468621721386
235,-1.8271801733125532,-7.184121176130648
236,-1.827745266409356,-7.183556132470069
237,-1.8283103618754704,-7.182991086242432
238,-1.8288754597014203,-7.182426037458007
239,-1.8294405598777663,-7.181860986127019
240,-1.830005662395107,-7.181295932259655
241,-1.830570767244078,-7.180730875866061
242,-1.831135874415353,-7.180165816956341
243,-1.8317009838996423,-7.179600755540561
244,-1.8322660956876948,-7.179035691628744
245,-1.8328312097702943,-7.178470625230875
246,-1.833396326138264,-7.177905556356897
247,-1.8339614447824608,-7.177340485016716
248,-1.834526565693781,-7.176775411220195
249,-1.835091688863156,-7.17621033497716
250,-1.8356568142815528,-7.175645256297398
251,-1.836221941939976,-7.175080175190655
252,-1.836787071829465,-7.174515091666639
253,-1.8418733397720533,-7.173950005735019
254,-1.8424384914872125,-7.173384917405427
255,-1.8430036453372105,-7.172819826687452
256,-1.843568801313508,-7.17225473359065
257,-1.8441339594076005,-7.171689638124535
258,-1.8446991196110163,-7.171124540298585
259,-1.8452642819153184,-7.170559440122239
